Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,Clean,MW,341.25,,
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,Fossil,MW,6390.0,,
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,Gas and Other Fossil,MW,0.0,,
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,191.9,,
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,Renewables,MW,341.25,,
India,IND,Bihar,BR,state,2019,Capacity,Aggregate fuel,Wind and Solar,MW,149.35,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Bioenergy,MW,121.2,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Coal,MW,6390.0,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Gas,MW,0.0,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Hydro,MW,70.7,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Nuclear,MW,0.0,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Other Fossil,MW,0.0,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Other Renewables,MW,0.0,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Solar,MW,149.35,,
India,IND,Bihar,BR,state,2019,Capacity,Fuel,Wind,MW,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Clean,%,1.3,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Fossil,%,98.7,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.81,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Renewables,%,1.3,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Wind and Solar,%,0.49,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Clean,GWh,459.62,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Fossil,GWh,34992.35,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,286.03,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Renewables,GWh,459.62,,
India,IND,Bihar,BR,state,2019,Electricity generation,Aggregate fuel,Wind and Solar,GWh,173.59,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Bioenergy,%,0.76,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Coal,%,98.7,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Gas,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Hydro,%,0.05,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Nuclear,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Other Fossil,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Other Renewables,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Solar,%,0.49,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Bioenergy,GWh,268.48,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Coal,GWh,34992.35,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Gas,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Hydro,GWh,17.55,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Nuclear,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Other Fossil,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Other Renewables,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Solar,GWh,173.59,,
India,IND,Bihar,BR,state,2019,Electricity generation,Fuel,Wind,GWh,0.0,,
India,IND,Bihar,BR,state,2019,Electricity generation,Total,Total Generation,GWh,35451.97,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Clean,%,70.5,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Fossil,%,28693.73,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,62.17,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Renewables,%,70.5,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Wind and Solar,%,8.33,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Clean,ktCO2,70.5,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Fossil,ktCO2,28693.73,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,62.17,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Renewables,ktCO2,70.5,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,8.33,,
India,IND,Bihar,BR,state,2019,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,811.36,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Bioenergy,%,61.75,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Coal,%,28693.73,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Gas,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Hydro,%,0.42,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Nuclear,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Other Fossil,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Other Renewables,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Solar,%,8.33,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Bioenergy,ktCO2,61.75,,
India,IND,Bihar,BR,state,2019,Power sector emissions,Fuel,Coal,ktCO2,28693.73,,
